Date,Actual,ARIMA-Total,SARIMAX-Total,LightGBM-Total,ARIMA-Zone,SARIMAX-Zone,LightGBM-Zone,ARIMA-Type,SARIMAX-Type,LightGBM-Type,LSTM-Type,Transformer-Type,Transformer-Zone,LSTM-Total,Transformer-Total,LSTM-Zone
2019-04-15,2674.3839213663014,6684.902025680667,3435.690733750289,2521.877907861732,6318.068680804116,3309.0019977540514,3340.9820002254887,6318.068680804116,3525.803387336462,5254.022833993347,3229.702606201172,3106.041320800781,3479.788330078125,3140.47094727,3195.15380859,2767.94483471
2019-04-16,3430.7610880329694,6693.1719117728135,2885.63025953675,2959.670943680232,6758.893795547936,3120.067260271404,2419.060579957125,6758.893795547936,3228.9606019750454,4182.763773557046,3229.7025756835938,2536.3766174316406,3492.418182373047,3906.92041016,3195.15380859,3314.29378033
2019-04-17,8581.579921366301,7055.658799734031,7482.559824924172,7664.863895148021,7021.368297192224,7617.215042697151,7444.761966660177,7021.368297192224,8077.628915094344,6750.683905609903,7266.298583984375,7734.122436523437,6876.527404785156,7822.19335938,8352.14550781,8494.03613281
2019-04-18,8119.5449213663005,7691.5835527127965,7452.412851867481,6968.557881665252,7541.778917449916,7196.370419528282,6957.7133645362055,7541.778917449916,7332.422194770324,6095.672782198888,7266.298583984375,7171.8096923828125,7111.2718505859375,7398.26220703,8352.14550781,8512.83966064
2019-04-19,8433.200088032969,6746.128522996685,6514.364961907067,5797.287793703885,6708.939674103664,6678.538069481916,7055.840174960613,6708.939674103664,6252.807951946372,6542.732613457442,7389.804016113281,7591.984375,7257.015563964844,8088.14355469,8352.14550781,8173.01037598
2019-04-20,3617.474921366304,3704.7087260495,3478.613834856251,3184.721394702536,3411.856422554062,3014.18261558322,3584.55727670394,3411.856422554062,2966.378483792972,3818.191968717956,3229.188232421875,3026.5092163085938,2647.437561035156,3656.45751953,3195.15380859,3626.86519623
2019-04-21,2978.7569213663014,3135.339005044107,2529.598750942063,3409.647149730905,3160.010607025043,2858.640338756207,2988.721403237631,3160.010607025043,2910.315438849389,2810.922963403726,3229.188232421875,2971.117431640625,2641.828491210937,3006.39501953,3195.15380859,3350.69244003
2019-04-22,8934.4349213663,6775.733798215199,7339.097397888072,7945.720293098031,6162.046284024559,6935.010671296527,7406.4051129854815,6162.046284024559,7008.461580444721,6521.621345496925,7389.804016113281,7914.3714599609375,7066.42041015625,9007.44238281,8376.62597656,8723.43591309
2019-04-23,8061.938421366302,6431.075372410014,7660.453068312305,7787.654628654526,6726.066682604396,7623.964391219039,7411.256591713575,6726.066682604396,7569.236878040572,6789.454116067494,7389.804016113281,8026.7098388671875,6771.545227050781,8150.71484375,8376.62597656,7960.54638672
2019-04-24,8261.092421366306,6800.55356582645,7265.292774096566,8024.468877520824,6608.1434132382365,7387.968060696923,7476.330536674876,6608.1434132382365,6666.567492717365,6130.121465928153,7389.804016113281,8087.260559082031,6975.571838378906,8234.57714844,8376.62597656,8247.81298828
2019-04-25,8229.171088032967,7424.802848214059,7141.76904895326,8002.877295284515,7574.878571413236,7570.589495455585,7170.818617879811,7574.878571413236,7378.135024142188,6471.247422100564,7389.804016113281,7879.208862304687,6965.189270019531,8256.00195312,8376.62597656,8132.13616943
2019-04-26,8251.988840716804,6801.259618763809,6373.323721830619,6578.266532260186,7224.98347679552,7229.9047130402,7362.087323019704,7224.98347679552,6979.858817766948,6219.319830767722,8291.765930175781,8381.429260253906,6928.911804199219,8243.43359375,8376.62597656,8160.58648682
2019-04-27,3738.617464760173,3316.4336798395148,3449.065989652118,3850.552580308273,3657.450517189895,3899.038393725746,3530.265751545174,3657.450517189895,4340.618953209112,3564.321817606893,3790.8449096679688,3583.3355102539062,3531.3345642089844,3765.40161133,3375.17944336,3662.4163208
2019-04-28,2955.6463994160167,2947.260392678875,4061.712370203925,3748.817667000658,3320.43637110643,3352.457414876136,2999.320121159894,3320.43637110643,3524.1554026277045,2676.305037560189,3790.8449096679688,3436.76513671875,3504.1852111816406,2947.9753418,3375.17944336,2874.91262817
2019-04-29,8859.973232749348,5676.001663523222,7217.384484013783,7886.583505209167,5935.350602529965,7456.550364671734,6641.796555273592,5935.350602529965,7972.678460993806,6483.869973007918,8291.765930175781,8409.970458984375,7195.666748046875,8902.02246094,8989.10058594,8934.55505371
2019-04-30,9204.351057521922,6263.665006327014,7262.524866512982,8248.128047039394,6592.379999442032,7198.748603584372,7885.80441395797,6592.379999442032,7291.79486653472,7562.622462596334,8291.765930175781,8313.164245605469,7878.813781738281,9163.79394531,8989.10058594,9272.21252441
2019-05-01,9244.394066082685,6749.360903684361,3522.40071108771,3690.614934718001,7227.826452229647,3167.510756039588,6089.445053934457,7227.826452229647,3528.407474030236,4218.014450195296,3790.844940185547,3588.1400756835938,4708.8404541015625,9124.79785156,4805.70019531,9325.76123047
2019-05-02,8959.893899416018,7983.4947053243395,7371.125633293131,6766.556721353093,7880.610410031129,7325.091219880445,7583.442419533341,7880.610410031129,7220.103585356606,7663.938219042749,8291.765930175781,8363.500549316406,7904.458740234375,8941.15625,8989.10058594,9034.70141602
2019-05-03,9117.985732749348,6890.542688795622,7758.706452293293,6555.545494794739,6881.137807068315,7342.082366201612,6931.971775032868,6881.137807068315,8265.255735210954,7188.48622652099,9085.9228515625,8559.465393066406,7665.224670410156,9077.82128906,8989.10058594,9200.1965332
2019-05-04,4820.768232749347,3675.5700704138894,3727.662154519269,3763.4115095417046,3190.482990973044,3209.7177027673683,3757.495790912295,3190.482990973044,3589.9783204859814,3449.602363715992,4479.526275634766,4877.763305664063,3951.715759277344,4878.70751953,4805.70019531,4829.66487885
2019-05-05,3878.097899416015,3496.720764089725,3142.810267680899,3729.508075531484,2938.586942003098,3021.1893197598574,3513.6153300882866,2938.586942003098,3080.485342354189,2939.955496185926,4479.526275634766,3966.498748779297,3778.009643554688,3864.05004883,4805.70019531,4029.59267616
